反应物	反应类型数	反应类型列表
[CH:1]([c:2]1[cH:3][cH:4][c:5]([C:6]([O:7][CH3:8])=[O:9])[cH:10][cH:11]1)=[O:17]	3	[1, 3, 5]
[NH4+:31]	3	[1, 4, 9]
[NH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1	3	[1, 2, 4]
[NH2:16][CH:17]1[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]1	3	[1, 2, 4]
[NH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1	3	[1, 2, 4]
[N-:27]=[N+:28]=[N-:29]	3	[1, 4, 9]
[NH2:11][CH:12]1[CH2:13][CH2:14]1	3	[1, 2, 3]
[NH2:25][CH2:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1	3	[1, 2, 4]
[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1	3	[1, 2, 3]
[NH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1	3	[1, 2, 3]
[CH3:13][O:14][c:15]1[cH:16][cH:17][c:18]([CH2:19][NH2:20])[cH:21][cH:22]1	3	[1, 2, 4]
[CH3:11][C:12]([CH3:13])([CH3:14])[O:15][C:16](=[O:17])[NH:18][NH2:19]	2	[1, 2]
[NH2:7][CH:8]1[CH2:9][CH2:10][N:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19][CH2:20]1	2	[1, 5]
[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[Br:17]	2	[1, 3]
[NH3:11]	2	[1, 9]
[CH2:1]=[O:18]	2	[1, 3]
[CH3:18][NH:19][CH3:20]	2	[1, 2]
[C:1]([CH3:2])(=[O:3])[Cl:12]	2	[2, 3]
[CH3:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[OH:11]	2	[1, 2]
[CH3:36][NH:37][CH3:38]	2	[1, 2]
[CH3:37][CH2:38][NH2:39]	2	[1, 2]
[NH2:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1	2	[1, 2]
[CH2:1]=[O:12]	2	[1, 3]
[CH3:1][CH2:2][c:3]1[n:4][c:5]2[c:6]([CH3:7])[cH:8][c:9]([CH2:10][C:11]([CH3:12])=[O:13])[n:14][c:15]2[n:16]1[C@H:17]1[CH2:18][CH2:19][c:20]2[cH:21][c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][c:28]3-[c:29]3[n:30][n:31][n:32][n:33]3[C:34]([c:35]3[cH:36][cH:37][cH:38][cH:39][cH:40]3)([c:41]3[cH:42][cH:43][cH:44][cH:45][cH:46]3)[c:47]3[cH:48][cH:49][cH:50][cH:51][cH:52]3)[cH:53][cH:54][c:55]21	2	[3, 7]
[CH2:1]=[O:31]	2	[1, 3]
[CH3:25][C:26]([CH3:27])([CH3:28])[O:29][C:30](=[O:31])[N:32]1[CH2:33][CH2:34][NH:35][CH2:36][CH2:37]1	2	[1, 2]
[CH3:20][NH2:21]	2	[1, 2]
[CH2:25]1[CH2:26][O:27][CH2:28][CH2:29][NH:30]1	2	[1, 2]
[O:4]=[C:5]([OH:6])[c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1[SH:13]	2	[1, 2]
[NH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1	2	[1, 2]
[NH2:9][CH:10]1[CH2:11][CH2:12]1	2	[1, 2]
[CH:1]([c:2]1[cH:3][cH:4][cH:5][s:6]1)=[O:14]	2	[1, 3]
[OH:1][O:25][C:24](=[O:23])[c:26]1[cH:27][cH:28][cH:29][c:30]([Cl:31])[cH:32]1	2	[4, 8]
[OH:1][O:21][C:20](=[O:19])[c:22]1[cH:23][cH:24][cH:25][c:26]([Cl:27])[cH:28]1	2	[4, 8]
[CH3:21][NH:22][CH3:23]	2	[1, 2]
[CH3:1][OH:14]	2	[1, 2]
[CH3:27][CH2:28][NH2:29]	2	[1, 2]
[NH2:21][CH2:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1	2	[1, 2]
[N-:14]=[N+:15]=[N-:16]	2	[1, 9]
[N-:28]=[N+:29]=[N-:30]	2	[4, 9]
[CH2:30]1[CH2:31][CH2:32][NH:33][CH2:34]1	2	[1, 2]
[CH2:10]1[CH2:11][NH:12][CH2:13][CH2:14][NH:15]1	2	[1, 2]
[OH:1][O:22][C:21](=[O:20])[c:23]1[cH:24][cH:25][cH:26][c:27]([Cl:28])[cH:29]1	2	[4, 8]
[CH3:17][CH2:18][NH2:19]	2	[1, 2]
[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[Cl:22]	2	[1, 2]
[O:25]=[C:26]1[CH2:27][S:28][C:29](=[O:30])[NH:31]1	2	[1, 3]
[CH3:21][CH2:22][NH2:23]	2	[1, 2]
[C-:22]#[N:23]	2	[3, 9]
[CH3:31][CH2:32][NH2:33]	2	[1, 2]
[CH3:11][C:12]([CH3:13])([CH3:14])[O:15][C:16](=[O:17])[N:18]1[CH2:19][CH2:20][NH:21][CH2:22][CH2:23]1	2	[1, 2]
[CH:1]([c:2]1[cH:3][cH:4][c:5]2[nH:6][cH:7][cH:8][c:9]2[cH:10]1)=[O:24]	2	[1, 3]
[CH:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1	2	[3, 4]
[CH3:12][NH2:13]	2	[1, 2]
[CH3:17][NH:18][CH3:19]	2	[1, 2]
[CH3:12][NH:13][CH3:14]	2	[1, 2]
[NH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1	2	[1, 2]
[C-:15]#[N:16]	2	[3, 9]
[N-:24]=[N+:25]=[N-:26]	2	[4, 9]
[NH2:24][OH:25]	2	[2, 9]
[N-:29]=[N+:30]=[N-:31]	2	[4, 9]
[CH3:13][O:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][NH2:21])[cH:22]1	2	[1, 2]
[NH4+:17]	2	[1, 9]
[NH3:15]	2	[1, 9]
[CH2:1]=[O:21]	2	[1, 3]
[CH2:19]=[CH:20][CH2:21][NH2:22]	2	[1, 2]
[NH2:5][c:6]1[c:7]([Cl:8])[cH:9][cH:10][cH:11][c:12]1[Cl:13]	2	[2, 9]
[CH2:1]=[O:14]	2	[1, 3]
[CH2:1]([CH3:2])[OH:14]	2	[1, 2]
[CH3:28][O:29][CH2:30][CH2:31][NH2:32]	2	[1, 2]
[CH3:28][CH2:29][O:30][C:31](=[O:32])[CH:33]1[CH2:34][CH2:35][NH:36][CH2:37][CH2:38]1	2	[1, 2]
[CH3:17][NH2:18]	2	[1, 2]
[CH3:31][NH2:32]	2	[1, 2]
[C:1]([c:2]1[cH:3][cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9]1)(=[O:10])[Cl:24]	2	[2, 3]
[c:1]1([Br:17])[cH:2][cH:3][n:4][cH:5][cH:6]1	2	[1, 3]
[CH3:27][NH:28][CH3:29]	2	[1, 2]
[CH2:27]1[CH2:28][O:29][CH2:30][CH2:31][NH:32]1	2	[1, 2]
[c:1]1([Br:23])[cH:2][cH:3][cH:4][n:5][cH:6]1	2	[1, 3]
[CH3:1][C:2](=[O:3])[O:25][C:23]([CH3:22])=[O:24]	2	[2, 3]
[CH2:20]1[CH2:21][O:22][CH2:23][CH2:24][NH:25]1	2	[1, 2]
[C:1]([CH3:2])(=[O:3])[Cl:27]	2	[1, 2]
[CH3:8][O:9][C:10](=[O:11])[c:12]1[cH:13][cH:14][c:15]2[cH:16][cH:17][nH:18][c:19]2[cH:20]1	2	[1, 5]
[CH3:1][I:22]	2	[1, 3]
[CH2:1]=[CH:2][C:3]#[N:4]	2	[1, 2]
[CH2:18]1[CH2:19][NH:20][CH2:21]1	2	[1, 2]
[CH3:15][N:16]1[CH2:17][CH2:18][NH:19][CH2:20][CH2:21]1	2	[1, 2]
[OH:1][O:14][C:13](=[O:12])[c:15]1[cH:16][cH:17][cH:18][c:19]([Cl:20])[cH:21]1	2	[4, 8]
[CH3:20][NH:21][CH2:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1	2	[1, 2]
[C:1]([CH3:2])(=[O:3])[Cl:13]	2	[2, 3]
[CH3:25][CH2:26][NH2:27]	2	[1, 2]
[NH2:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1	2	[1, 2]
[CH3:11][CH:12]([CH3:13])[NH:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1	2	[1, 2]
[CH3:1][OH:13]	2	[1, 2]
[CH2:1]([O:2][CH3:3])[Cl:25]	2	[1, 5]
[CH3:16][C:17]([CH3:18])([CH3:19])[O:20][C:21](=[O:22])[N:23]1[CH2:24][CH2:25][NH:26][CH2:27][CH2:28]1	2	[1, 2]
[c:1]1([Cl:16])[n:2][cH:3][c:4]([C:5]([O:6][CH3:7])=[O:8])[cH:9][c:10]1[N+:11](=[O:12])[O-:13]	2	[1, 9]
[CH2:1]=[O:32]	2	[1, 3]
[CH3:21][N:22]([CH3:23])[CH2:24][CH2:25][NH2:26]	2	[1, 2]
[NH2:7][CH2:8][CH2:9][NH2:10]	2	[1, 2]
[CH2:36]1[CH2:37][O:38][CH2:39][CH2:40][NH:41]1	2	[1, 2]
[CH3:13][CH2:14][NH:15][CH2:16][CH3:17]	2	[1, 2]
[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15]1	2	[1, 2]
[c:1]1([I:28])[cH:2][cH:3][cH:4][c:5]([N+:6](=[O:7])[O-:8])[cH:9]1	2	[1, 3]
[N-:9]=[N+:10]=[N-:11]	2	[4, 9]
[CH3:11][N:12]([CH3:13])[CH2:14][CH2:15][NH2:16]	2	[1, 2]
[C:1](=[O:2])([CH2:3][Cl:4])[Cl:17]	2	[2, 3]
[NH2:15][c:16]1[cH:17][cH:18][c:19]([OH:20])[cH:21][cH:22]1	2	[1, 2]
[CH2:26]1[CH2:27][CH2:28][NH:29][CH2:30]1	2	[1, 2]
[CH3:9][NH:10][O:11][CH3:12]	2	[1, 2]
[CH3:24][CH2:25][NH2:26]	2	[1, 2]
[CH3:1][OH:15]	2	[1, 2]
[CH2:24]1[CH2:25][CH2:26][NH:27][CH2:28][CH2:29]1	2	[1, 2]
[CH3:26][NH:27][CH3:28]	2	[1, 2]
[C:1](=[O:2])([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[Cl:29]	2	[1, 2]
[NH2:16][CH:17]1[CH2:18][CH2:19]1	2	[1, 2]
[OH:1][O:20][C:19](=[O:18])[c:21]1[cH:22][cH:23][cH:24][c:25]([Cl:26])[cH:27]1	2	[4, 8]
[CH3:22][NH2:23]	2	[1, 2]
[CH2:1]=[O:17]	2	[1, 3]
[CH2:15]1[CH2:16][O:17][CH2:18][CH2:19][NH:20]1	2	[1, 2]
[NH2:32][CH2:33][CH2:34][OH:35]	2	[1, 2]
[c:1]1([Cl:16])[c:2]([Cl:3])[cH:4][cH:5][cH:6][n:7]1	2	[1, 3]
[OH:1][O:30][C:29](=[O:28])[c:31]1[cH:32][cH:33][cH:34][c:35]([Cl:36])[cH:37]1	2	[4, 8]
[CH2:20]1[CH2:21][CH2:22][NH:23][CH2:24]1	2	[1, 2]
[CH2:11]1[CH2:12][S:13][CH2:14][CH2:15][NH:16]1	2	[1, 2]
[CH3:10][N:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1	2	[1, 2]
[C-:14]#[N:15]	2	[3, 9]
[CH2:16]1[CH2:17][CH2:18][NH:19][CH2:20]1	2	[2, 3]
[CH3:16][O:17][c:18]1[cH:19][cH:20][cH:21][c:22]([NH2:23])[cH:24]1	2	[1, 2]
[OH:1][O:27][C:26](=[O:25])[c:28]1[cH:29][cH:30][cH:31][c:32]([Cl:33])[cH:34]1	2	[4, 8]
[cH:22]1[cH:23][nH:24][cH:25][n:26]1	2	[1, 2]
[C:1](=[O:2])([CH2:3][Cl:4])[Cl:14]	2	[2, 3]
[CH3:1][OH:23]	2	[1, 2]
[NH3:14]	2	[1, 9]
[NH2:23][CH:24]1[CH2:25][CH2:26][CH2:27]1	2	[1, 2]
[CH:1]([c:2]1[cH:3][cH:4][cH:5][n:6][cH:7]1)=[O:28]	2	[1, 3]
[CH3:33][N:34]1[CH2:35][CH2:36][NH:37][CH2:38][CH2:39]1	2	[1, 2]
[CH3:28][C:29]([CH3:30])([CH3:31])[O:32][C:33](=[O:34])[NH:35][CH2:36][CH2:37][NH2:38]	2	[1, 2]
[O:4]=[CH:5][c:6]1[cH:7][cH:8][c:9]([O:10][CH2:11][c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:18][c:19]1[OH:20]	2	[1, 5]
[CH2:1]=[O:23]	2	[1, 3]
[C:1](=[O:2])([CH2:3][Br:4])[Cl:13]	2	[2, 3]
[CH3:16][NH2:17]	2	[1, 2]
[OH:10][CH2:11][CH2:12][OH:13]	2	[1, 2]
[C:1]([CH3:2])(=[O:3])[Cl:28]	2	[1, 2]
[CH2:19]1[CH2:20][O:21][CH2:22][CH2:23][NH:24]1	2	[1, 2]
[CH3:35][NH:36][CH2:37][c:38]1[cH:39][cH:40][cH:41][cH:42][cH:43]1	2	[1, 2]
[CH2:10]1[CH2:11][CH2:12][NH:13][CH2:14]1	2	[1, 2]
[NH3:35]	2	[1, 9]
[CH:26]1=[CH:27][CH2:28][NH:29][CH2:30]1	2	[1, 2]
[CH3:16][NH:17][CH3:18]	2	[1, 2]
[NH2:10][CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1	2	[1, 2]
[C-:11]#[N:12]	2	[3, 9]
[NH2:22][NH2:23]	2	[2, 4]
[O:10]=[N+:11]([O-:12])[c:13]1[cH:14][cH:15][c:16]([OH:17])[cH:18][cH:19]1	2	[1, 2]
[CH3:12][C:13]([CH3:14])([CH3:15])[O:16][C:17](=[O:18])[N:19]1[CH2:20][CH2:21][NH:22][CH2:23][CH2:24]1	2	[1, 2]
[NH2:17][OH:18]	2	[2, 9]
[CH3:8][CH2:9][NH2:10]	2	[1, 2]
[c:1]1([Br:23])[cH:2][cH:3][cH:4][cH:5][n:6]1	2	[1, 3]
[CH3:21][NH2:22]	2	[1, 2]
[CH2:1]([CH2:2][OH:3])[OH:25]	2	[2, 5]
[CH2:31]1[CH2:32][O:33][CH2:34][CH2:35][NH:36]1	2	[1, 2]
[CH3:13][C:14]([CH3:15])([CH3:16])[O:17][C:18](=[O:19])[N:20]1[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]1	2	[1, 2]
[CH:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[O:23]	2	[1, 3]
[C:1](=[O:2])([CH:3]1[CH2:4][CH2:5]1)[Cl:17]	2	[2, 3]
[c:1]1([Cl:18])[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][n:9]1	2	[1, 3]
[CH2:5]1[CH2:6][O:7][CH2:8][CH2:9][NH:10]1	2	[1, 2]
[CH3:13][NH2:14]	2	[1, 2]
[NH2:23][CH:24]1[CH2:25][CH2:26]1	2	[1, 2]
[CH3:11][CH:12]([CH3:13])[N:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1	2	[1, 2]
[OH:1][O:13][C:12](=[O:11])[c:14]1[cH:15][cH:16][cH:17][c:18]([Cl:19])[cH:20]1	2	[4, 8]
[O:14]=[N+:15]([O-:16])[c:17]1[cH:18][cH:19][cH:20][c:21]([OH:22])[cH:23]1	2	[1, 2]
[OH:21][CH:22]1[CH2:23][CH2:24][O:25][CH2:26]1	2	[1, 2]
[CH2:1]([C:2]#[CH:3])[Br:11]	2	[1, 3]
[CH2:21]1[CH2:22][O:23][CH2:24][CH2:25][NH:26]1	2	[1, 2]
[CH3:12][C@H:13]([OH:14])[C@@H:15]([NH2:16])[C:17](=[O:18])[OH:19]	2	[1, 2]
[c:1]1([Br:16])[cH:2][cH:3][cH:4][cH:5][cH:6]1	2	[1, 3]
[NH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1	2	[1, 2]
[NH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1	2	[1, 2]
[NH2:26][OH:27]	2	[2, 9]
[NH2:19][CH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1	2	[1, 2]
[CH2:29]1[CH2:30][O:31][CH2:32][CH2:33][NH:34]1	2	[1, 2]
[CH3:19][NH2:20]	2	[1, 2]
[C-:9]#[N:10]	2	[3, 9]
[NH2:16][c:17]1[cH:18][cH:19][cH:20][c:21]([Cl:22])[cH:23]1	2	[1, 2]
[O:9]=[C:10]([OH:11])[c:12]1[nH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[c:20]1[NH:21][c:22]1[cH:23][cH:24][n:25][cH:26][cH:27]1	2	[1, 2]
[CH3:1][OH:16]	2	[1, 2]
[c:1]1([Br:34])[cH:2][cH:3][c:4]([S:5]([N:6]2[CH2:7][CH2:8][C:9]3([O:10][CH2:11][C:12](=[O:13])[N:14]([CH:15]4[CH2:16][CH2:17]4)[CH2:18]3)[CH2:19][CH2:20]2)(=[O:21])=[O:22])[cH:23][cH:24]1	2	[3, 9]
[CH3:8][c:9]1[n:10][c:11]([NH2:12])[s:13][c:14]1[C:15](=[O:16])[NH:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1	2	[1, 2]
[CH3:10][NH2:11]	2	[1, 2]
[NH2:14][OH:15]	2	[2, 9]
[CH2:37]1[CH2:38][O:39][CH2:40][CH2:41][NH:42]1	2	[1, 2]
[CH2:16]1[CH2:17][CH2:18][NH:19][CH2:20][CH2:21]1	2	[1, 2]
[NH2:11][NH2:12]	2	[2, 9]
[CH3:15][C:16](=[O:17])[NH:18][CH2:19][CH2:20][NH2:21]	2	[1, 4]
[NH2:30][OH:31]	2	[2, 9]
[OH:1][OH:21]	2	[4, 8]
[CH3:5][c:6]1[cH:7][cH:8][cH:9][c:10]([CH3:11])[c:12]1[NH2:13]	2	[1, 2]
[CH2:1]=[O:28]	2	[1, 3]
[CH3:12][CH2:13][CH2:14][NH2:15]	2	[1, 2]
[CH:1]#[C:2][CH2:3][OH:4]	2	[1, 4]
[CH3:18][C:19]([CH3:20])([CH3:21])[O:22][C:23](=[O:24])[N:25]1[CH2:26][CH2:27][NH:28][CH2:29][CH2:30]1	2	[1, 2]
[NH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1	2	[1, 2]
[CH3:11][CH2:12][CH2:13][NH2:14]	2	[1, 2]
[NH4+:32]	2	[4, 9]
[NH3:26]	2	[1, 9]
[N-:30]=[N+:31]=[N-:32]	2	[4, 9]
[C:1]([CH2:2][CH3:3])(=[O:4])[Cl:33]	2	[1, 2]
[CH3:22][N:23]1[CH2:24][CH2:25][NH:26][CH2:27][CH2:28]1	2	[1, 2]
[CH2:1]=[O:33]	2	[1, 3]
[C:1]([CH2:2][CH3:3])(=[O:4])[Cl:28]	2	[1, 2]
[CH3:23][CH:24]([CH3:25])[NH2:26]	2	[1, 2]
[c:1]1([I:21])[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][cH:9]1	2	[1, 3]
[C:1](=[O:2])([N:3]1[CH2:4][CH2:5][O:6][CH2:7][CH2:8]1)[Cl:22]	2	[1, 2]
[CH3:30][NH2:31]	2	[1, 2]
[CH3:9][NH2:10]	2	[1, 2]
[CH3:22][CH:23]([CH3:24])[NH2:25]	2	[1, 2]
[OH:1][O:19][C:18](=[O:17])[c:20]1[cH:21][cH:22][cH:23][c:24]([Cl:25])[cH:26]1	2	[4, 8]
[CH2:32]1[CH2:33][CH2:34][NH:35][CH2:36]1	2	[1, 2]
[CH2:10]1[CH2:11][O:12][CH2:13][CH2:14][NH:15]1	2	[1, 2]
[C:1]([CH3:2])(=[O:3])[Cl:10]	2	[1, 2]
[CH2:1]([CH2:2][OH:3])[OH:22]	2	[2, 5]
[c:1]1([Br:14])[cH:2][cH:3][cH:4][cH:5][n:6]1	2	[1, 3]
[NH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]1	2	[1, 2]
[CH2:1]([CH2:2][OH:3])[OH:27]	2	[2, 5]
[CH3:20][NH:21][CH3:22]	2	[1, 2]
[C:1]([CH3:2])(=[O:3])[Cl:31]	2	[2, 3]
[OH:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1	2	[1, 2]
[c:1]1([Cl:19])[cH:2][cH:3][n:4][c:5]([Cl:6])[n:7]1	2	[1, 3]
[CH2:1]([C:2]#[CH:3])[OH:13]	2	[1, 2]
[OH:1][O:23][C:22](=[O:21])[c:24]1[cH:25][cH:26][cH:27][c:28]([Cl:29])[cH:30]1	2	[4, 8]
[CH3:30][N:31]1[CH2:32][CH2:33][NH:34][CH2:35][CH2:36]1	2	[1, 2]
[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[OH:26]	2	[1, 2]
[CH3:27][C:28]([CH3:29])([CH3:30])[O:31][C:32](=[O:33])[N:34]1[CH2:35][CH2:36][CH:37]([CH2:38][NH2:39])[CH2:40][CH2:41]1	2	[1, 2]
[CH2:20]1[CH2:21][NH:22][CH2:23][CH2:24][NH:25]1	2	[1, 2]
[CH3:32][N:33]1[CH2:34][CH2:35][CH2:36][NH:37][CH2:38][CH2:39]1	2	[1, 2]
[CH3:10][C:11]([CH3:12])([CH3:13])[O:14][C:15](=[O:16])[N:17]1[CH2:18][CH2:19][NH:20][CH2:21][CH2:22]1	2	[1, 2]
[CH2:19]1[CH2:20][CH2:21][NH:22][CH2:23]1	2	[1, 2]
[CH2:22]1[CH2:23][O:24][CH2:25][CH2:26][NH:27]1	2	[1, 2]
[N-:12]=[N+:13]=[N-:14]	2	[4, 9]
[CH2:8]=[CH:9][CH2:10][NH:11][CH2:12][CH:13]=[CH2:14]	2	[2, 5]
[CH3:24][NH:25][CH3:26]	2	[1, 2]
[CH2:33]=[CH:34][CH2:35][NH2:36]	2	[1, 2]
[C:1]([O:2][CH2:3][CH:4]([CH3:5])[CH3:6])(=[O:7])[Cl:34]	2	[1, 2]
[NH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1	2	[1, 2]
[NH2:10][CH:11]1[CH2:12][CH2:13]1	2	[1, 2]
[CH3:13][CH:14]([CH3:15])[NH2:16]	2	[1, 2]
[CH2:1]([CH3:2])[OH:23]	2	[1, 2]
[CH3:15][NH2:16]	2	[1, 2]
[CH3:12][N:13]1[CH2:14][CH2:15][NH:16][CH2:17][CH2:18]1	2	[1, 2]
[CH3:1][OH:37]	2	[1, 2]
[NH2:22][CH2:23][CH2:24][OH:25]	2	[1, 2]
[OH:1][O:15][C:14](=[O:13])[c:16]1[cH:17][cH:18][cH:19][c:20]([Cl:21])[cH:22]1	2	[4, 8]
[O:8]=[c:9]1[cH:10][c:11]([CH2:12][CH:13]([NH:14][C:15](=[O:16])[c:17]2[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]2)[C:24](=[O:25])[OH:26])[c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]2[nH:33]1	2	[1, 2]
[CH3:8][NH2:9]	2	[1, 2]
[CH2:29]1[CH2:30][CH2:31][NH:32][CH2:33][CH2:34]1	2	[1, 2]
[C:1]([CH3:2])(=[O:3])[OH:36]	2	[1, 2]
[C:1]([O:2][CH2:3][CH3:4])(=[O:5])[Cl:33]	2	[1, 2]
[CH2:1]([CH3:2])[OH:15]	2	[1, 2]
[OH:19][CH2:20][C@@H:21]1[CH2:22][CH2:23][CH2:24][NH:25]1	2	[1, 2]
[CH2:17]1[CH2:18][C:19]2([CH2:20][CH2:21][NH:22]1)[O:23][CH2:24][CH2:25][O:26]2	2	[1, 2]
[CH3:24][NH2:25]	2	[1, 2]
[NH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([Cl:20])[cH:21]1	2	[1, 2]
[CH3:25][NH:26][CH3:27]	2	[1, 2]
[CH2:11]1[CH2:12][O:13][CH2:14][CH2:15][NH:16]1	2	[1, 2]
